productName,productSubtitle,ProductPrice,productRatingCount,ProductTotalRating,productshiping,productseller
Google Pixel 7 - 7 Pro - 128/256 GB - Unlocked/T-Mobile/AT&T/Verizon - Good,Ships Same Day - Charger Included - Free Returns,$229.99 to $309.99,5.0 out of 5 stars.,5,from United States,"electro-dealz (3,132) 99.1%"
Unlocked SOYES XS14 Super Mini Mobile Phone 4G LTE 3GB 64GB Android Quad Core,Brand New,$75.99 to $94.99,0,0,from China,"huayingxing2 (2,066) 96.2%"
Apple iPhone 11 64GB Unlocked Verizon At&t T-Mobile GSM/CDMA 4G,Pre-Owned,$162.00 to $241.00,4.5 out of 5 stars.,61,from United States,"solarcprod (6,506) 97.2%"
Samsung Galaxy S8 | S8+ Plus 64GB Unlocked Verizon T-Mobile AT&T Metro Sprint,Open Box,$84.94 to $154.95,4.5 out of 5 stars.,7,from United States,"uki-mobile (2,656) 99.3%"
Apple iPhone 12 64GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY,$277.95,5.0 out of 5 stars.,20,from United States,"supplytronics (102,862) 98.8%"
Apple iPhone 11 Pro 64GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY,$277.95,4.5 out of 5 stars.,3,from United States,"supplytronics (102,862) 98.8%"
Apple iPhone 12 64GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY,$284.95,5.0 out of 5 stars.,2,from United States,"supplytronics (102,862) 98.8%"
Apple iPhone 14 - 128GB - T-Mobile - Midnight - 5G Smartphone - EXCELLENT!,Excellent - Refurbished · Apple iPhone 14 · 128 GB · T-Mobile,$439.99,5.0 out of 5 stars.,3,from United States,"pocketaces_deals (3,742) 99.8%"
Apple iPhone 14 Plus 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY,$534.95,3.5 out of 5 stars.,3,from United States,"supplytronics (102,862) 98.8%"
Apple iPhone 12 128GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY,$334.95,4.5 out of 5 stars.,4,from United States,"supplytronics (102,862) 98.8%"
Apple iPhone 7 Plus - 128GB - All Colors - Unlocked - Good Condition,Pre-Owned,$94.00 to $161.00,0,0,from United States,"solarcprod (6,506) 97.2%"
Apple iPhone 11 - 128GB - White (Unlocked) A2111 (CDMA + GSM),Pre-Owned,$169.00 to $312.00,5.0 out of 5 stars.,14,from United States,"solarcprod (6,506) 97.2%"
Google Pixel 6a GX7AS - 128GB - AT&T/T-Mobile/Verizon Or Unlocked - Excellent!,Pre-Owned,$152.99 to $188.99,5.0 out of 5 stars.,15,from United States,"electro-dealz (3,132) 99.1%"
Apple iPhone 14 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY,$659.95,5.0 out of 5 stars.,1,from United States,"supplytronics (102,862) 98.8%"
Apple iPhone XS Max 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY,$257.95,4.5 out of 5 stars.,83,from United States,"supplytronics (102,862) 98.8%"
LG Wing 5G LM-F100 T-Mobile Unlocked 256GB Aurora Gray C,"Free Shipping, Free 30 Day Returns",$199.99,5.0 out of 5 stars.,22,from United States,"yywirelesss (133,584) 98.3%"
